step,epoch,total_loss,otp_head_loss,decoder_loss,lr,elapsed_s
25,1,3.8413310050964355,2.626988410949707,1.214342713356018,5e-06,9.2
50,1,3.3709449768066406,2.101445436477661,1.26949942111969,1e-05,17.5
75,1,2.878636121749878,1.670052409172058,1.2085837125778198,1.5e-05,25.7
100,1,2.8433938026428223,1.6242109537124634,1.2191827297210693,2e-05,34.0
125,1,2.7781028747558594,1.5992662906646729,1.178836464881897,2.5e-05,42.2
150,1,2.897627353668213,1.6045233011245728,1.2931041717529297,3e-05,50.5
175,1,2.731463670730591,1.5160853862762451,1.2153782844543457,3.5e-05,58.8
200,1,2.679359197616577,1.4770537614822388,1.2023054361343384,4e-05,67.1
225,1,2.5567755699157715,1.407357096672058,1.149418592453003,4.5e-05,75.4
250,1,2.577678680419922,1.2702373266220093,1.3074413537979126,5e-05,83.7
275,1,2.5814692974090576,1.372807264328003,1.2086620330810547,5.500000000000001e-05,92.0
300,1,2.590026617050171,1.3379770517349243,1.2520495653152466,6e-05,100.3
325,1,2.6470069885253906,1.460911512374878,1.1860953569412231,6.500000000000001e-05,108.6
350,1,2.5825138092041016,1.4343119859695435,1.1482017040252686,7e-05,116.9
375,1,2.5829572677612305,1.3360222578048706,1.2469348907470703,7.500000000000001e-05,125.2
400,1,2.5951597690582275,1.3727490901947021,1.2224106788635254,8e-05,133.5
425,1,2.545853614807129,1.3428192138671875,1.203034520149231,8.5e-05,141.8
450,1,2.8058667182922363,1.5773998498916626,1.2284669876098633,9e-05,150.1
475,1,2.5148472785949707,1.3559104204177856,1.1589369773864746,9.5e-05,158.3
500,1,2.4670464992523193,1.3017605543136597,1.1652859449386597,0.0001,166.6
525,1,2.442882537841797,1.3386658430099487,1.1042166948318481,9.998467391513347e-05,174.9
550,1,2.598362445831299,1.383254051208496,1.2151085138320923,9.993870505608896e-05,183.1
575,1,2.274451732635498,1.1672730445861816,1.107178807258606,9.986212160377184e-05,191.4
600,1,2.4940333366394043,1.3293482065200806,1.1646852493286133,9.975497050716174e-05,199.7
625,1,2.4357101917266846,1.233981966972351,1.2017282247543335,9.961731745453064e-05,208.0
650,1,2.38661789894104,1.2321239709854126,1.1544939279556274,9.944924683317322e-05,216.2
675,1,2.329676628112793,1.1617110967636108,1.1679656505584717,9.925086167767374e-05,224.5
700,1,2.5721988677978516,1.3221452236175537,1.2500535249710083,9.902228360674138e-05,232.8
725,1,2.3410258293151855,1.1537810564041138,1.1872446537017822,9.876365274865267e-05,241.0
750,1,2.2435874938964844,1.1697559356689453,1.0738316774368286,9.847512765534683e-05,249.3
775,1,2.198709726333618,1.1926074028015137,1.0061023235321045,9.815688520522653e-05,257.6
800,1,2.322862148284912,1.1383410692214966,1.184520959854126,9.780912049472367e-05,265.8
825,1,2.4204421043395996,1.2775040864944458,1.1429380178451538,9.743204671869694e-05,274.1
850,1,2.214348793029785,1.1932379007339478,1.0211108922958374,9.702589503973405e-05,282.4
875,1,2.352119207382202,1.31619393825531,1.035925269126892,9.6590914446439e-05,290.6
900,1,2.368415355682373,1.27874755859375,1.089667797088623,9.612737160079133e-05,298.9
925,1,2.3617453575134277,1.29239022731781,1.0693550109863281,9.563555067467069e-05,307.2
950,1,2.2631635665893555,1.1810483932495117,1.0821151733398438,9.511575317564722e-05,315.5
975,1,2.172518253326416,1.0817971229553223,1.0907212495803833,9.456829776214423e-05,323.8
1000,1,2.342787265777588,1.19723641872406,1.1455509662628174,9.399352004808683e-05,332.0
1025,1,2.3326869010925293,1.292812466621399,1.0398743152618408,9.339177239715607e-05,361.8
1050,1,2.3594908714294434,1.3208166360855103,1.038674235343933,9.276342370677457e-05,370.1
1075,1,2.273360252380371,1.1429957151412964,1.1303645372390747,9.210885918195652e-05,378.4
1100,1,2.104557752609253,1.0852617025375366,1.0192960500717163,9.142848009916024e-05,386.8
1125,1,2.2174973487854004,1.2017998695373535,1.0156975984573364,9.07227035602883e-05,395.0
1150,1,2.295785427093506,1.2113752365112305,1.0844100713729858,8.999196223698599e-05,403.4
1175,1,2.272953987121582,1.075720191001892,1.1972336769104004,8.923670410539471e-05,411.6
1200,1,2.2668771743774414,1.1526163816452026,1.1142606735229492,8.845739217152333e-05,419.9
1225,1,2.257413387298584,1.21126127243042,1.0461522340774536,8.765450418740531e-05,428.2
1250,1,2.224069356918335,1.1866639852523804,1.0374053716659546,8.682853235821596e-05,436.5
1275,1,2.219475746154785,1.2322639226913452,0.9872117042541504,8.59799830405293e-05,444.8
1300,1,2.127852439880371,1.0766301155090332,1.0512224435806274,8.510937643189962e-05,453.1
1325,1,2.247105598449707,1.1649837493896484,1.082121729850769,8.421724625195768e-05,461.4
1350,1,2.134592056274414,1.2605026960372925,0.8740893006324768,8.330413941521748e-05,469.7
1375,1,2.2184717655181885,1.1646931171417236,1.0537786483764648,8.237061569579388e-05,477.9
1400,1,2.3226237297058105,1.2549995183944702,1.0676240921020508,8.141724738423686e-05,486.2
1425,1,2.2157602310180664,1.1779121160507202,1.0378481149673462,8.044461893669248e-05,494.5
1450,1,2.2005057334899902,1.1869759559631348,1.013529658317566,7.945332661660598e-05,502.8
1475,1,1.983464241027832,1.0889174938201904,0.8945466876029968,7.844397812918635e-05,511.1
1500,1,2.049236297607422,1.183785319328308,0.8654510974884033,7.741719224885673e-05,519.4
1525,1,2.063049793243408,1.1384702920913696,0.9245796203613281,7.63735984399188e-05,527.7
1550,1,2.117638349533081,1.0931702852249146,1.0244680643081665,7.531383647066381e-05,536.0
1575,1,1.9804258346557617,1.0285043716430664,0.9519214630126953,7.423855602116694e-05,544.3
1600,1,2.0679831504821777,1.1644432544708252,0.9035399556159973,7.314841628500516e-05,552.6
1625,1,1.9742732048034668,1.0738937854766846,0.9003794193267822,7.204408556514299e-05,560.9
1650,1,2.0194079875946045,1.1156734228134155,0.903734564781189,7.092624086423374e-05,569.2
1675,1,1.9445555210113525,1.088759183883667,0.8557963371276855,6.979556746958759e-05,577.5
1700,1,2.024996280670166,1.1416443586349487,0.8833518028259277,6.865275853306063e-05,585.8
1725,1,2.063363790512085,1.0766016244888306,0.9867622256278992,6.749851464612275e-05,594.1
1750,1,2.066758632659912,1.160204529762268,0.9065539836883545,6.63335434103647e-05,602.3
1775,1,2.134190082550049,1.2294268608093262,0.9047632217407227,6.515855900370749e-05,610.6
1800,1,2.050340175628662,1.168257236480713,0.882082998752594,6.397428174258047e-05,618.9
1825,1,2.2350006103515625,1.3316072225570679,0.9033935070037842,6.278143764033603e-05,627.2
1850,1,2.011631488800049,1.146936297416687,0.8646953105926514,6.158075796217191e-05,635.5
1875,1,1.8492761850357056,1.0685374736785889,0.7807387113571167,6.03729787768339e-05,643.9
1900,1,2.0657129287719727,1.1697758436203003,0.8959370851516724,5.915884050537378e-05,652.2
1925,1,1.9628949165344238,1.1281949281692505,0.8346999287605286,5.793908746723911e-05,660.5
1950,1,2.1436190605163574,1.19319486618042,0.9504241943359375,5.6714467423972974e-05,668.8
1975,1,2.242267370223999,1.1628369092941284,1.0794304609298706,5.548573112080392e-05,677.1
2000,1,1.954371690750122,1.1012355089187622,0.8531361222267151,5.4253631826406357e-05,685.3
2025,1,1.936590313911438,1.0926591157913208,0.8439311981201172,5.3018924871114305e-05,715.4
2050,1,1.9730430841445923,1.0666649341583252,0.9063781499862671,5.178236718387103e-05,723.7
2075,1,2.071784019470215,1.1591289043426514,0.9126549959182739,5.0544716828198825e-05,732.0
2100,1,1.9060039520263672,1.061485767364502,0.8445181846618652,4.930673253747313e-05,740.3
2125,1,1.9088375568389893,1.078759789466858,0.8300777077674866,4.806917324978608e-05,748.7
2150,1,1.9282505512237549,1.1204320192337036,0.8078184723854065,4.6832797642684475e-05,757.0
2175,1,2.024381399154663,1.1466293334960938,0.8777520060539246,4.55983636680676e-05,765.3
2200,1,1.8919060230255127,1.1271744966506958,0.7647315859794617,4.436662808752968e-05,773.6
2225,1,1.897019624710083,1.1070712804794312,0.7899482846260071,4.31383460084324e-05,781.9
2250,1,2.128704786300659,1.2800997495651245,0.8486050963401794,4.191427042099108e-05,790.2
2275,1,1.8138999938964844,1.008436918258667,0.8054630756378174,4.069515173665922e-05,798.4
2300,1,1.9387812614440918,1.1136738061904907,0.8251075148582458,3.94817373280935e-05,806.7
2325,1,1.883054494857788,1.1521732807159424,0.7308811545372009,3.827477107098212e-05,815.0
