step,epoch,total_loss,otp_head_loss,decoder_loss,lr,elapsed_s
10,1,3.887226104736328,2.6796836853027344,1.2075425386428833,2e-05,3.0
20,1,3.1654062271118164,2.006136417388916,1.1592696905136108,4e-05,4.9
30,1,2.975979804992676,1.9126847982406616,1.0632950067520142,6e-05,6.8
40,1,3.064216136932373,1.7396292686462402,1.3245868682861328,8e-05,8.7
50,1,2.8067450523376465,1.6116691827774048,1.1950758695602417,0.0001,10.6
60,1,3.2736101150512695,1.9513633251190186,1.322246789932251,0.00012,12.5
70,1,3.122058868408203,1.7203466892242432,1.40171217918396,0.00014000000000000001,14.4
80,1,2.648948907852173,1.4429566860198975,1.2059922218322754,0.00016,16.3
90,1,2.9387102127075195,1.6991451978683472,1.2395650148391724,0.00017999999999999998,18.2
100,1,2.599975109100342,1.4804118871688843,1.119563102722168,0.0002,20.2
110,1,2.7207069396972656,1.5125888586044312,1.208117961883545,0.00022,22.1
120,1,3.088507652282715,1.7950443029403687,1.2934633493423462,0.00024,24.1
130,1,2.4818992614746094,1.4644944667816162,1.0174046754837036,0.00026000000000000003,26.0
140,1,2.7944345474243164,1.659347653388977,1.1350867748260498,0.00028000000000000003,27.9
150,1,2.5161571502685547,1.3185564279556274,1.1976006031036377,0.0003,29.8
160,1,2.86956787109375,1.5774883031845093,1.2920794486999512,0.00032,31.6
170,1,2.8177356719970703,1.6450397968292236,1.1726959943771362,0.00034,33.5
180,1,2.456317663192749,1.2801915407180786,1.1761261224746704,0.00035999999999999997,35.4
190,1,2.526261329650879,1.2618881464004517,1.2643733024597168,0.00038,37.3
200,1,2.6144933700561523,1.2246065139770508,1.389886736869812,0.0004,39.2
210,1,2.8993136882781982,1.4953749179840088,1.4039387702941895,0.00042,41.1
220,1,2.7937259674072266,1.6235321760177612,1.1701937913894653,0.00044,43.0
230,1,2.41733455657959,1.1636300086975098,1.25370454788208,0.00046,44.9
240,1,2.3812832832336426,1.2808380126953125,1.1004453897476196,0.00048,46.7
250,1,2.568362236022949,1.457692265510559,1.1106699705123901,0.0005,48.6
260,1,2.4391705989837646,1.225560188293457,1.2136104106903076,0.0005200000000000001,50.5
270,1,2.5459389686584473,1.3206838369369507,1.225255012512207,0.00054,52.4
280,1,2.6402721405029297,1.4310710430145264,1.2092012166976929,0.0005600000000000001,54.3
290,1,2.8322081565856934,1.7194074392318726,1.1128007173538208,0.00058,56.2
300,1,2.657653570175171,1.4770207405090332,1.1806328296661377,0.0006,58.1
310,1,2.7889280319213867,1.632752776145935,1.1561752557754517,0.00062,60.0
320,1,2.6703362464904785,1.380959391593933,1.2893767356872559,0.00064,61.9
330,1,2.869701385498047,1.623795509338379,1.2459059953689575,0.00066,63.9
340,1,2.6116018295288086,1.3850728273391724,1.2265288829803467,0.00068,65.8
350,1,2.7996349334716797,1.612192153930664,1.1874428987503052,0.0007,67.7
360,1,2.7658843994140625,1.4841269254684448,1.2817575931549072,0.0007199999999999999,69.6
370,1,2.4466066360473633,1.4054136276245117,1.041192889213562,0.00074,71.5
380,1,2.768176555633545,1.7462959289550781,1.0218806266784668,0.00076,73.4
